Date,Open,High,Low,Close,Adj Close,Volume
2021-01-07,64650.000000,65390.000000,64280.000000,64750.000000,63337.816406,888800
2021-01-08,64310.000000,65370.000000,63710.000000,65370.000000,63944.296875,1221800
2021-01-12,65300.000000,66550.000000,64660.000000,66550.000000,65098.562500,1081800
2021-01-13,65970.000000,66590.000000,65660.000000,65790.000000,64355.136719,1067000
2021-01-14,65680.000000,66300.000000,65470.000000,65810.000000,64374.699219,920200
2021-01-15,65790.000000,65990.000000,65110.000000,65690.000000,64257.316406,838200
2021-01-18,65350.000000,66660.000000,65190.000000,65540.000000,64110.589844,963300
2021-01-19,65540.000000,66180.000000,65300.000000,65860.000000,64423.609375,687300
2021-01-20,66000.000000,66280.000000,64550.000000,64720.000000,63308.472656,972100
2021-01-21,64510.000000,64570.000000,62710.000000,62760.000000,61391.218750,1526700
2021-01-22,62060.000000,63960.000000,61440.000000,63920.000000,62525.921875,1358400
2021-01-25,63640.000000,63730.000000,62010.000000,62680.000000,61312.964844,1202700
2021-01-26,63020.000000,63110.000000,61880.000000,62200.000000,60843.433594,902200
2021-01-27,62810.000000,62820.000000,61900.000000,62610.000000,61244.492188,728200
2021-01-28,61350.000000,62590.000000,61330.000000,61660.000000,60315.210938,1534800
2021-01-29,61990.000000,62000.000000,60300.000000,60580.000000,59258.765625,1019000
2021-02-01,61280.000000,62800.000000,60620.000000,62640.000000,61273.835938,996000
2021-02-02,63990.000000,64350.000000,61200.000000,62400.000000,61039.070313,2101100
2021-02-03,63400.000000,63480.000000,62130.000000,62500.000000,61136.890625,984700
2021-02-04,61350.000000,62380.000000,61310.000000,61580.000000,60236.957031,731000
2021-02-05,61750.000000,63440.000000,61610.000000,63380.000000,61997.699219,1090900
2021-02-08,63660.000000,63880.000000,62850.000000,63450.000000,62066.171875,877200
2021-02-09,63330.000000,63380.000000,61900.000000,62250.000000,60892.343750,1038700
2021-02-10,62660.000000,64500.000000,62410.000000,64350.000000,62946.542969,1602800
2021-02-12,65900.000000,67000.000000,65820.000000,66340.000000,64893.140625,2041500
